Mã chi nhánh (Bravo),Tên chi nhánh (Bravo),Tỉnh,Kênh bán hàng,Kho vật lý,Khu vực,Tổng công ty
branch_code,branch_name,branch_province,branch_channel,warehouseid,branch_area,branch_corporation
008,CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. HCM,UNIS,HUBR00001,HCM,000
076,CÔNG TY TNHH LOTINA,Tp. HCM,UNIMAX,HUBR00001,HCM,222
108,CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. HCM,UNICHEMI,HUBR00001,HCM,000
023,CHI NHÁNH TẠI LÂM ĐỒNG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Lâm Đồng,UNIS,HUBR00002,MT-TNG,000
079,CHI NHÁNH LÂM ĐỒNG 2 - CÔNG TY TNHH LOTINA,Lâm Đồng,UNIMAX,HUBR00002,MT-TNG,222
100,CHI NHÁNH TẠI LÂM ĐỒNG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Lâm Đồng,UNICHEMI,HUBR00002,MT-TNG,000
120,CHI NHÁNH TẠI LÂM ĐỒNG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Lâm Đồng,UNILUX,HUBR00002,MT-TNG,000
123,CHI NHÁNH TẠI LÂM ĐỒNG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Lâm Đồng,UNIMAX,HUBR00002,MT-TNG,000
015,CHI NHÁNH VĨNH LONG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Vĩnh Long,UNIS,HUBR00003,TNB,000
039,CHI NHÁNH VĨNH LONG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Vĩnh Long,UNILUX,HUBR00004,TNB,000
069,CHI NHÁNH VĨNH LONG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Vĩnh Long,UNIMAX,HUBR00004,TNB,000
104,CHI NHÁNH VĨNH LONG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Vĩnh Long,UNICHEMI,HUBR00004,TNB,000
018,CHI NHÁNH AN GIANG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,An Giang,UNIS,HUBR00005,TNB,000
040,CHI NHÁNH AN GIANG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,An Giang,UNILUX,HUBR00005,TNB,000
050,CHI NHÁNH AN GIANG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,An Giang,UNIMAX,HUBR00005,TNB,000
105,CHI NHÁNH AN GIANG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,An Giang,UNICHEMI,HUBR00005,TNB,000
049,CHI NHÁNH KHÁNH HÒA - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Khánh Hòa,UNIS,HUBR00006,MT-TNG,000
071,CHI NHÁNH KHÁNH HÒA - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Khánh Hòa,UNIMAX,HUBR00006,MT-TNG,000
080,CHI NHÁNH KHÁNH HÒA - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Khánh Hòa,UNILUX,HUBR00006,MT-TNG,000
102,CHI NHÁNH KHÁNH HÒA - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Khánh Hòa,UNICHEMI,HUBR00006,MT-TNG,000
014,CHI NHÁNH QUẢNG NGÃI - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Quảng Ngãi,UNIS,HUBR00007,MT-TNG,000
043,CHI NHÁNH QUẢNG NGÃI - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Quảng Ngãi,UNILUX,HUBR00007,MT-TNG,000
072,CHI NHÁNH QUẢNG NGÃI - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Quảng Ngãi,UNIMAX,HUBR00007,MT-TNG,000
112,CHI NHÁNH QUẢNG NGÃI - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Quảng Ngãi,UNICHEMI,HUBR00007,MT-TNG,000
019,CHI NHÁNH BÀ RỊA - VŨNG TÀU - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. HCM,UNIS,HUBR00008,DNB,000
074,CHI NHÁNH BÀ RỊA - VŨNG TÀU - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. HCM,UNIMAX,HUBR00008,DNB,000
114,CHI NHÁNH BÀ RỊA - VŨNG TÀU - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. HCM,UNICHEMI,HUBR00008,DNB,000
001,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. Đà Nẵng,UNIS,HUBR00009,MT-TNG,000
066,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. Đà Nẵng,UNIMAX,HUBR00009,MT-TNG,000
115,CHI NHÁNH CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. Đà Nẵng,UNICHEMI,HUBR00009,MT-TNG,000
011,CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS - CHI NHÁNH TIỀN GIANG,Đồng Tháp,UNIS,HUBR00010,TNB,000
073,CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS - CHI NHÁNH TIỀN GIANG,Đồng Tháp,UNIMAX,HUBR00010,TNB,000
103,CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS - CHI NHÁNH TIỀN GIANG,Đồng Tháp,UNICHEMI,HUBR00010,TNB,000
116,CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS - CHI NHÁNH TIỀN GIANG,Đồng Tháp,UNILUX,HUBR00010,TNB,000
017,CHI NHÁNH CÀ MAU - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Cà Mau,UNIS,HUBR00011,TNB,000
041,CHI NHÁNH CÀ MAU - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Cà Mau,UNILUX,HUBR00011,TNB,000
063,CHI NHÁNH CÀ MAU - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Cà Mau,UNIMAX,HUBR00011,TNB,000
107,CHI NHÁNH CÀ MAU - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Cà Mau,UNICHEMI,HUBR00011,TNB,000
016,CHI NHÁNH CẦN THƠ - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. Cần Thơ,UNIS,HUBR00012,TNB,000
042,CHI NHÁNH CẦN THƠ - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. Cần Thơ,UNILUX,HUBR00012,TNB,222
065,CHI NHÁNH CẦN THƠ - CÔNG TY TNHH LOTINA,Tp. Cần Thơ,UNIMAX,HUBR00012,TNB,000
106,CHI NHÁNH CẦN THƠ - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. Cần Thơ,UNICHEMI,HUBR00012,TNB,000
010,CHI NHÁNH TẠI ĐỒNG NAI - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Đồng Nai,UNIS,HUBR00020,DNB,000
020,CHI NHÁNH TẠI ĐỒNG NAI - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Đồng Nai,UNIS,HUBR00020,DNB,000
068,CHI NHÁNH TẠI ĐỒNG NAI - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Đồng Nai,UNIMAX,HUBR00020,DNB,222
075,CHI NHÁNH TẠI ĐỒNG NAI - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Đồng Nai,UNIMAX,HUBR00020,DNB,000
081,CHI NHÁNH ĐỒNG NAI - CÔNG TY TNHH LOTINA,Đồng Nai,UNIMAX,HUBR00020,DNB,000
101,CHI NHÁNH TẠI ĐỒNG NAI - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Đồng Nai,UNICHEMI,HUBR00020,DNB,000
118,CHI NHÁNH TẠI ĐỒNG NAI - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Đồng Nai,UNILUX,HUBR00020,DNB,000
059,CHI NHÁNH BÌNH ĐỊNH - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Gia Lai,UNIMAX,HUBR00014,MT-TNG,000
099,CHI NHÁNH BÌNH ĐỊNH - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Gia Lai,UNIS,HUBR00014,MT-TNG,000
110,CHI NHÁNH BÌNH ĐỊNH - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Gia Lai,UNICHEMI,HUBR00014,MT-TNG,000
002,CHI NHÁNH BÌNH DƯƠNG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. HCM,UNIS,HUBR00015,DNB,000
060,CHI NHÁNH BÌNH DƯƠNG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. HCM,UNIMAX,HUBR00015,DNB,000
117,CHI NHÁNH BÌNH DƯƠNG - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Tp. HCM,UNILUX,HUBR00015,DNB,000
012,CHI NHÁNH TẠI BÌNH THUẬN - CÔNG TY CỔ PHẦN TẬP ĐOÀN UNIS,Lâm Đồng,UNIS,HUBR00016,MT-TNG,000
