Mã sku phần mềm Bravo,Đuôi màu,Mã vật tư tính giá,Tên vật tư tính giá,Mã sku nhà máy,Mã Sale,Bộ Mẫu,Nhóm sản phẩm,Đặc điểm,Đơn vị nhỏ nhất,Đơn vị cấp 2,Hệ số quy đổi cấp 2,Đơn vị cấp 3,Hệ số quy đổi cấp 3,Đơn vị cấp 4,Hệ số quy đổi cấp 4,Quy cách vận tải,Nhóm giá,Khối lượng,Mã nhà máy,Mã nơi kéo,Nhãn hàng,Tình trạng,Tình trạng chi nhánh,Cột dò tình trạng,Ngày triển khai,Kênh triển khai,Tuổi mẫu
bravo_sku,color_tail,item_code,item_name,factory_sku,sale_sku,pattern_set,category,features,masterunit,uom_level2,quantity_exchange_level2,uom_level3,quantity_exchange_level3,uom_level4,quantity_exchange_level4,transport_spec,price_group,gross_weight,factory_code,pull_source_code,brand,status,branch_status,status_lookup,deploy_date,branch_channel,sample_age
01.L1.2540.2401T.0,0,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.2,2,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.4,4,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.5,5,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.6,6,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.7,7,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.8,8,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.CT12,CT12,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.CT2,CT2,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.CT4,CT4,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.CT5,CT5,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.CT8,CT8,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.CT7,CT7,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
01.L1.2540.2401T.CT6,CT6,01.L1.2540.2401T,Gạch 25x40 MS 2401T loại 1,2401T,01.2401T,END,GACH,THAN,VIEN,HOP,10,PALLET,,M2,10,25x40,2540,0,01,PAK,UNIS,END-2020,END-2020,END-2020,,,0
