Mã nơi kéo,Tên nơi kéo,Mã nhà máy,Khu vực
pull_source_code,pull_source_name,factory_code,pull_source_area
A MY - VINH PHUC,A MY - VINH PHUC,30,MB
ACCORD - HCM,ACCORD - HCM,32,
AMADO - VINH PHUC,AMADO - VINH PHUC,23,MB
APODIO - PHU THO,APODIO - PHU THO,14,MB
APOLLO,APOLLO,43,
ASIA STAR,ASIA STAR,19,MB
BINH PHU - BINH DINH,BINH PHU - BINH DINH,49,
BNC - BAC NINH,BNC - BAC NINH,38,MB
BONG GIO - TIEN GIANG,BONG GIO - TIEN GIANG,UL,
BUMATECH - LONG AN,BUMATECH - LONG AN,18,
CMC - PHU THO,CMC - PHU THO,07,MB
DACERA - DA NANG,DACERA - DA NANG,12,
DIC,DIC,27,
FICO,FICO,22,
FICO,FICO,24,
HA THANH,HA THANH,17,
HA THANH - DONG THAP,HA THANH - DONG THAP,17,
HA THANH - SOC TRANG,HA THANH - SOC TRANG,17,
HACERA - HA NAM,HACERA - HA NAM,40,MB
HOAN MY - VINH PHUC,HOAN MY - VINH PHUC,02,MB
HOAN MY - VINH PHUC,HOAN MY - VINH PHUC,03,MB
HOAN MY - VINH PHUC,HOAN MY - VINH PHUC,08,MB
HOAN MY - VINH PHUC,HOAN MY - VINH PHUC,10,MB
ICON - HCM,ICON - HCM,33,
ITACA - HCM,ITACA - HCM,34,
KKS - BRVT,KKS - BRVT,22,
LETOZA - HCM,LETOZA - HCM,31,
MAPEI - QUANG NAM,MAPEI - QUANG NAM,21,
MC BIFI - LONG AN,MC BIFI - LONG AN,35,
MIKADO - BAC GIANG,MIKADO - BAC GIANG,50,MB
MIKADO - DONG NAI,MIKADO - DONG NAI,29,
MIKADO - DONG NAI,MIKADO - DONG NAI,47,
MIKADO - HUE,MIKADO - HUE,25,
MIKADO - HUE,MIKADO - HUE,29,
MIKADO - QUANG NINH,MIKADO - QUANG NINH,29,MB
MIKADO - THAI BINH,MIKADO - THAI BINH,25,MB
MIKADO - THAI BINH,MIKADO - THAI BINH,29,MB
NPG - HUNG YEN,NPG - HUNG YEN,36,MB
PAK,PAK,01,
PANCERA,PANCERA,28,
PHUONG NAM - DONG NAI,PHUONG NAM - DONG NAI,46,
SH,SH,13,?
SHIJAR,SHIJAR,20,
SHIJAR,SHIJAR,26,
SINOLINK,SINOLINK,44,
TADICO - BAC NINH,TADICO - BAC NINH,45,MB
TAICERA,TAICERA,00,
TAKAOBD - BINH DINH,TAKAOBD - BINH DINH,20,MB
TAKAOBD - BINH DINH,TAKAOBD - BINH DINH,41,MB
TAKAOGR - PHU THO,TAKAOGR - PHU THO,20,MB
TAKAOVN - PHU THO,TAKAOVN - PHU THO,20,MB
THANG CUONG - PHU THO,THANG CUONG - PHU THO,48,MB
THANH HA,THANH HA,11,MB
THANH THANG - BRVT,THANH THANG - BRVT,37,
TOKO - HUNG YEN,TOKO - HUNG YEN,39,MB
TRUNG NGUYEN,TRUNG NGUYEN,16,
TUNG LAM,TUNG LAM,00,MB
VICENZA - THANH HOA,VICENZA - THANH HOA,05,
VIGLACERA - BRVT,VIGLACERA - BRVT,09,
VIGLACERA - VINH PHUC,VIGLACERA - VINH PHUC,09,MB
VINH THANG,VINH THANG,06,
VITALY - BINH DUONG,VITALY - BINH DUONG,51,
VITTO - HUE,VITTO - HUE,03,
VITTO - HUE,VITTO - HUE,04,
VITTO - HUE,VITTO - HUE,08,
VITTO - HUE,VITTO - HUE,10,
VITTO - HUE,VITTO - HUE,15,
VITTO - VINH PHUC,VITTO - VINH PHUC,00,MB
VITTO - VINH PHUC,VITTO - VINH PHUC,03,MB
VITTO - VINH PHUC,VITTO - VINH PHUC,04,MB
VITTO - VINH PHUC,VITTO - VINH PHUC,08,MB
VITTO - VINH PHUC,VITTO - VINH PHUC,10,MB
VTH - BRVT,VTH - BRVT,42,
