Mã chi nhánh,Mã sku phần mềm Bravo,Số lượng tồn kho,Đơn vị nhỏ nhất,Mã hàng không đuôi
branch_code,bravo_sku,invqty,masterunit,Sku
008,12.L1.3030.3002,1000,VIEN,12.L1.3030.3002
008,12.L1.2550.2501,1000,VIEN,12.L1.2550.2501
008,12.L1.2550.2502,1000,VIEN,12.L1.2550.2502
008,12.L1.2550.2503,1000,VIEN,12.L1.2550.2503
008,12.L1.2550.2504,1000,VIEN,12.L1.2550.2504
008,12.L1.2550.2505,1000,VIEN,12.L1.2550.2505
008,14.L1.6060.66383026.S,1000,VIEN,14.L1.6060.66383026
008,12.L2.2550.2501,1000,VIEN,12.L2.2550.2501
008,14.L1.6060.66282018.1S,1000,VIEN,14.L1.6060.66282018
008,14.L1.6060.66181004,1000,VIEN,14.L1.6060.66181004
008,14.L1.8080.88181004U,1000,VIEN,14.L1.8080.88181004U
008,14.L1.8080.88282018,1000,VIEN,14.L1.8080.88282018
008,14.L1.8080.88283003.1,1000,VIEN,14.L1.8080.88283003
008,14.L1.6060.66282018.2,1000,VIEN,14.L1.6060.66282018
008,14.L1.8080.88283003,1000,VIEN,14.L1.8080.88283003
008,12.L1.2040.2401,1000,VIEN,12.L1.2040.2401
008,12.L1.2040.2402,1000,VIEN,12.L1.2040.2402
008,12.L1.2040.2403,1000,VIEN,12.L1.2040.2403
008,12.L1.2040.2404,1000,VIEN,12.L1.2040.2404
008,12.L1.2040.2405,1000,VIEN,12.L1.2040.2405
008,14.L1.6060.66383026,1000,VIEN,14.L1.6060.66383026
008,14.L1.8080.88282018.S,1000,VIEN,14.L1.8080.88282018
008,14.L1.6060.66181004.K,1000,VIEN,14.L1.6060.66181004
008,12.L1.2040.2401.1,1000,VIEN,12.L1.2040.2401
008,12.L1.2040.2402.1,1000,VIEN,12.L1.2040.2402
008,12.L1.2040.2403.1,1000,VIEN,12.L1.2040.2403
008,12.L1.2040.2404.1,1000,VIEN,12.L1.2040.2404
008,12.L1.2040.2405.1,1000,VIEN,12.L1.2040.2405
008,14.L1.6060.66181004.1,1000,VIEN,14.L1.6060.66181004
008,12.L1.3030.3002.8,1000,VIEN,12.L1.3030.3002
008,12.L1.2550.2503.3,1000,VIEN,12.L1.2550.2503
