fsku,actual_t10,wma_t10,ma3_t10,acc_wma_t10,acc_ma3_t10,actual_t11,wma_t11,ma3_t11,acc_wma_t11,acc_ma3_t11,actual_t12,final_t12,ma3_t12,acc_final_t12,acc_ma3_t12,actual_t1,final_t1,ma3_t1,acc_final_t1,acc_ma3_t1,final_t2,final_t3,actual_t1_num
03.L1.3060.68414,0.0,133.0,133.0,,,0.0,133.0,133.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0
03.L1.3060.68416,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0,0,0.0,,,0,0,0.0,,,0,0,0
03.L1.6060.8000,45.0,17.0,17.0,38.51851851851852,38.51851851851852,0.0,32.0,32.0,,,53,39,21.0,73.58490566037736,40.25157232704403,62,36,33.0,58.06451612903225,52.68817204301075,34,38,62
05.L1.3060.KAG36900,2442.0,3405.0,3405.0,60.55146055146054,60.55146055146054,1555.0,2512.0,2512.0,38.456591639871384,38.456591639871384,4867,1838,1879.0,37.76453667557017,38.60694472981303,6514,3388,2955.0,52.01105311636476,45.35871456350424,3465,3722,6514
05.L1.3060.KAG36900D,60.0,16.0,16.0,27.222222222222214,27.222222222222214,192.0,34.0,34.0,17.53472222222222,17.53472222222222,300,117,89.0,39.0,29.77777777777777,443,443,184.0,100.0,41.534988713318285,375,388,443
05.L1.3060.KAG36900V,41.0,316.0,316.0,0.0,0.0,336.0,268.0,268.0,79.76190476190477,79.76190476190477,178,209,174.0,82.58426966292134,97.56554307116104,411,198,185.0,48.17518248175182,45.01216545012166,220,205,411
05.L1.3060.KAG36901,3900.0,2916.0,2916.0,74.77777777777779,74.77777777777779,1204.0,3449.0,3449.0,0.0,0.0,2537,2518,2945.0,99.25108395743003,83.93115227959534,3708,2410,2547.0,64.99460625674219,68.68932038834951,2207,2334,3708
05.L1.3060.KAG36901D,37.0,73.0,73.0,1.8018018018018167,1.8018018018018167,5.0,40.0,40.0,0.0,0.0,104,28,37.0,26.923076923076927,35.897435897435905,264,264,49.0,100.0,18.434343434343425,190,204,264
05.L1.3060.KAG36901V,362.0,201.0,201.0,55.432780847145494,55.432780847145494,222.0,257.0,257.0,84.0840840840841,84.0840840840841,278,275,287.0,98.92086330935251,96.76258992805755,363,278,287.0,76.5840220385675,79.15518824609732,267,272,363
05.L1.3060.KAG36902,1247.0,1313.0,1313.0,94.6805666933975,94.6805666933975,607.0,1389.0,1389.0,0.0,0.0,1439,908,1001.0,63.09937456567061,69.58536020384527,1246,1151,1098.0,92.37560192616372,88.0952380952381,1129,1198,1246
05.L1.3060.KAG36902D,163.0,82.0,82.0,50.10224948875256,50.10224948875256,106.0,121.0,121.0,85.84905660377359,85.84905660377359,36,128,134.0,0.0,0.0,139,82,102.0,58.992805755395686,73.14148681055157,73,68,139
05.L1.3060.KAG36903,782.0,865.0,865.0,89.42881500426259,89.42881500426259,592.0,839.0,839.0,58.220720720720706,58.220720720720706,901,709,756.0,78.69034406215316,83.86977432482426,1313,784,758.0,59.71058644325971,57.755775577557756,781,806,1313
05.L1.3060.KAG36904,4294.0,1655.0,1655.0,38.54991460953268,38.54991460953268,1426.0,2840.0,2840.0,0.8415147265077194,0.8415147265077194,2283,2349,2486.0,97.10906701708278,91.12279164841584,1720,2428,2668.0,58.83720930232559,44.903100775193806,2184,2277,1720
05.L1.3060.KAG36904D,618.0,161.0,161.0,25.997842502696866,25.997842502696866,162.0,334.0,334.0,0.0,0.0,230,297,310.0,70.86956521739131,65.07246376811595,337,287,337.0,85.16320474777447,99.90108803165182,245,255,337
05.L1.3060.KAG36905,1458.0,1088.0,1088.0,74.62277091906722,74.62277091906722,2602.0,1241.0,1241.0,47.706892134255696,47.706892134255696,1905,1856,1550.0,97.42782152230971,81.36482939632546,1407,2025,1988.0,56.07675906183369,58.68277659322436,2104,2040,1407
05.L1.3060.KAG36906,2560.0,1288.0,1288.0,50.32552083333333,50.32552083333333,2249.0,1395.0,1395.0,62.02756780791463,62.02756780791463,5112,2089,1931.0,40.86463223787168,37.773865414710485,2543,3743,3307.0,52.81163979551711,69.95674400314589,3855,4073,2543
05.L1.3060.KAG36906D,318.0,201.0,201.0,63.102725366876314,63.102725366876314,301.0,192.0,192.0,63.67663344407531,63.67663344407531,464,276,257.0,59.48275862068966,55.45977011494252,221,386,361.0,25.339366515837103,36.651583710407245,392,405,221
05.L1.3060.KAG36907,1548.0,659.0,659.0,42.549526270456504,42.549526270456504,457.0,888.0,888.0,5.616338439095547,5.616338439095547,1795,769,796.0,42.84122562674094,44.326833797585884,2034,1344,1267.0,66.07669616519173,62.27466404457556,1302,1413,2034
05.L1.3060.USG36000,23685.0,19344.0,19344.0,81.67194426852437,81.67194426852437,23088.0,20079.0,20079.0,86.96725571725572,86.96725571725572,21410,21485,20316.0,99.64969640354975,94.89179511131869,10710,22368,22728.0,0.0,0.0,22225,22105,10710
05.L1.3060.USG36000AD,187.0,87.0,87.0,46.34581105169341,46.34581105169341,188.0,124.0,124.0,65.78014184397163,65.78014184397163,504,165,149.0,32.738095238095234,29.62962962962964,110,346,293.0,0.0,0.0,362,386,110
05.L1.3060.USG36000AV,813.0,484.0,484.0,59.53259532595325,59.53259532595325,995.0,472.0,472.0,47.47068676716917,47.47068676716917,1065,766,643.0,71.92488262910798,60.375586854460096,301,994,958.0,0.0,0.0,1016,1019,301
05.L1.3060.USG36000BD,226.0,172.0,172.0,75.95870206489676,75.95870206489676,210.0,131.0,131.0,62.22222222222222,62.22222222222222,398,188,171.0,47.23618090452262,42.88107202680067,42,307,278.0,0.0,0.0,315,329,42
05.L1.3060.USG36000BV,590.0,701.0,701.0,81.12994350282486,81.12994350282486,663.0,681.0,681.0,97.2347913524384,97.2347913524384,1363,645,645.0,47.322083639031554,47.322083639031554,936,998,872.0,93.37606837606837,93.16239316239316,1040,1092,936
05.L1.3060.USG36001,4233.0,381.0,381.0,9.000708717221828,9.000708717221828,4382.0,1792.0,1792.0,40.894568690095845,40.894568690095845,4331,3944,3100.0,91.06441930270147,71.58469945355192,4387,3668,4315.0,83.61066788237976,98.3663855330142,2373,5178,4387
05.L1.3060.USG36001D,6.0,12.0,12.0,0.0,0.0,97.0,14.0,14.0,14.432989690721653,14.432989690721653,272,60,34.0,22.058823529411764,12.622549019607842,26,166,125.0,0.0,0.0,184,196,26
