fsku,actual_t10,actual_t11,actual_t12,actual_t1,final_fc_t12,ma3_fc_t12,acc_final_t12,acc_ma3_t12,final_fc_t1,ma3_fc_t1,acc_final_t1,acc_ma3_t1,final_fc_t2,final_fc_t3
03.L1.3060.68414,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
03.L1.3060.68416,0.0,0.0,0,,0,0.0,,,0,0.0,,,0,0
03.L1.6060.8000,45.0,0.0,53,62,39,21.0,73.6%,40.3%,36,33.0,58.1%,52.7%,34,38
05.L1.3060.KAG36900,2442.0,1555.0,4867,6514,1838,1879.0,37.8%,38.6%,3388,2955.0,52.0%,45.4%,3465,3722
05.L1.3060.KAG36900D,60.0,192.0,300,443,117,89.0,39.0%,29.8%,443,184.0,100.0%,41.5%,375,388
05.L1.3060.KAG36900V,41.0,336.0,178,411,209,174.0,82.6%,97.6%,198,185.0,48.2%,45.0%,220,205
05.L1.3060.KAG36901,3900.0,1204.0,2537,3708,2518,2945.0,99.3%,83.9%,2410,2547.0,65.0%,68.7%,2207,2334
05.L1.3060.KAG36901D,37.0,5.0,104,264,28,37.0,26.9%,35.9%,264,49.0,100.0%,18.4%,190,204
05.L1.3060.KAG36901V,362.0,222.0,278,363,275,287.0,98.9%,96.8%,278,287.0,76.6%,79.2%,267,272
05.L1.3060.KAG36902,1247.0,607.0,1439,1246,908,1001.0,63.1%,69.6%,1151,1098.0,92.4%,88.1%,1129,1198
05.L1.3060.KAG36902D,163.0,106.0,36,139,128,134.0,0.0%,0.0%,82,102.0,59.0%,73.1%,73,68
05.L1.3060.KAG36903,782.0,592.0,901,1313,709,756.0,78.7%,83.9%,784,758.0,59.7%,57.8%,781,806
05.L1.3060.KAG36904,4294.0,1426.0,2283,1720,2349,2486.0,97.1%,91.1%,2428,2668.0,58.8%,44.9%,2184,2277
05.L1.3060.KAG36904D,618.0,162.0,230,337,297,310.0,70.9%,65.1%,287,337.0,85.2%,99.9%,245,255
05.L1.3060.KAG36905,1458.0,2602.0,1905,1407,1856,1550.0,97.4%,81.4%,2025,1988.0,56.1%,58.7%,2104,2040
05.L1.3060.KAG36906,2560.0,2249.0,5112,2543,2089,1931.0,40.9%,37.8%,3743,3307.0,52.8%,70.0%,3855,4073
05.L1.3060.KAG36906D,318.0,301.0,464,221,276,257.0,59.5%,55.5%,386,361.0,25.3%,36.7%,392,405
05.L1.3060.KAG36907,1548.0,457.0,1795,2034,769,796.0,42.8%,44.3%,1344,1267.0,66.1%,62.3%,1302,1413
05.L1.3060.USG36000,23685.0,23088.0,21410,10710,21485,20316.0,99.6%,94.9%,22368,22728.0,0.0%,0.0%,22225,22105
05.L1.3060.USG36000AD,187.0,188.0,504,110,165,149.0,32.7%,29.6%,346,293.0,0.0%,0.0%,362,386
05.L1.3060.USG36000AV,813.0,995.0,1065,301,766,643.0,71.9%,60.4%,994,958.0,0.0%,0.0%,1016,1019
05.L1.3060.USG36000BD,226.0,210.0,398,42,188,171.0,47.2%,42.9%,307,278.0,0.0%,0.0%,315,329
05.L1.3060.USG36000BV,590.0,663.0,1363,936,645,645.0,47.3%,47.3%,998,872.0,93.4%,93.2%,1040,1092
05.L1.3060.USG36001,4233.0,4382.0,4331,4387,3944,3100.0,91.1%,71.6%,3668,4315.0,83.6%,98.4%,2373,5178
05.L1.3060.USG36001D,6.0,97.0,272,26,60,34.0,22.1%,12.6%,166,125.0,0.0%,0.0%,184,196
05.L1.3060.USG36001V,674.0,1067.0,542,260,847,596.0,43.7%,90.0%,726,761.0,0.0%,0.0%,739,696
05.L1.3060.USG36002,761.0,2989.0,2102,1871,2056,1364.0,97.8%,64.9%,2100,1951.0,87.8%,95.7%,2278,2189
