item_code,location_code,period_start,qty,demand_type,segment,priority,combo_class,branch_archetype,tet_flag,confidence_lower,confidence_upper
05.L1.6060.686001,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.686001,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686001,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686001,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686002,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.686002,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686002,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686002,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686003,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.686003,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686003,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686003,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686004,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.686004,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686004,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686004,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686005,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.686005,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686005,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686005,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686006,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.686006,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686006,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686006,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686007,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.686007,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686007,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.686007,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6001,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.IP6001,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6001,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6001,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6002,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.IP6002,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6002,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6002,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6004,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.IP6004,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6004,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6004,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6005,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.IP6005,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6005,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6005,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6006,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.IP6006,000,2026-01-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6006,000,2026-02-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6006,000,2026-03-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6007,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.6060.IP6007,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6007,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.6060.IP6007,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688001,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.8080.688001,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688001,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688001,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688002,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.8080.688002,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688002,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688002,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688003,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.8080.688003,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688003,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688003,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688004,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.8080.688004,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688004,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688004,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688005,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.8080.688005,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688005,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688005,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688006,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.8080.688006,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688006,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688006,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688007,000,2025-12-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,N,0.0,0.0
05.L1.8080.688007,000,2026-01-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688007,000,2026-02-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.688007,000,2026-03-01,0.0,FORECAST,C,1,COLD_START,HIGH_VELOCITY,Y,0.0,0.0
05.L1.8080.IP8001,000,2025-12-01,0.0,FORECAST,B,1,DORMANT_SEASONAL,HIGH_VELOCITY,N,0.0,0.0
