item_code,period_start,qty
03.L1.6060.8000,2025-12-01,39.0
03.L1.6060.8000,2026-01-01,36.0
03.L1.6060.8000,2026-02-01,34.0
03.L1.6060.8000,2026-03-01,38.0
05.L1.3060.KAG36900,2025-12-01,1838.0
05.L1.3060.KAG36900,2026-01-01,3388.0
05.L1.3060.KAG36900,2026-02-01,3465.0
05.L1.3060.KAG36900,2026-03-01,3722.0
05.L1.3060.KAG36900D,2025-12-01,117.0
05.L1.3060.KAG36900D,2026-01-01,443.0
05.L1.3060.KAG36900D,2026-02-01,375.0
05.L1.3060.KAG36900D,2026-03-01,388.0
05.L1.3060.KAG36900V,2025-12-01,209.0
05.L1.3060.KAG36900V,2026-01-01,198.0
05.L1.3060.KAG36900V,2026-02-01,220.0
05.L1.3060.KAG36900V,2026-03-01,205.0
05.L1.3060.KAG36901,2025-12-01,2518.0
05.L1.3060.KAG36901,2026-01-01,2410.0
05.L1.3060.KAG36901,2026-02-01,2207.0
05.L1.3060.KAG36901,2026-03-01,2334.0
05.L1.3060.KAG36901D,2025-12-01,28.0
05.L1.3060.KAG36901D,2026-01-01,264.0
05.L1.3060.KAG36901D,2026-02-01,190.0
05.L1.3060.KAG36901D,2026-03-01,204.0
05.L1.3060.KAG36901V,2025-12-01,275.0
05.L1.3060.KAG36901V,2026-01-01,278.0
05.L1.3060.KAG36901V,2026-02-01,267.0
05.L1.3060.KAG36901V,2026-03-01,272.0
05.L1.3060.KAG36902,2025-12-01,908.0
05.L1.3060.KAG36902,2026-01-01,1151.0
05.L1.3060.KAG36902,2026-02-01,1129.0
05.L1.3060.KAG36902,2026-03-01,1198.0
05.L1.3060.KAG36902D,2025-12-01,128.0
05.L1.3060.KAG36902D,2026-01-01,82.0
05.L1.3060.KAG36902D,2026-02-01,73.0
05.L1.3060.KAG36902D,2026-03-01,68.0
05.L1.3060.KAG36903,2025-12-01,709.0
05.L1.3060.KAG36903,2026-01-01,784.0
05.L1.3060.KAG36903,2026-02-01,781.0
05.L1.3060.KAG36903,2026-03-01,806.0
05.L1.3060.KAG36904,2025-12-01,2349.0
05.L1.3060.KAG36904,2026-01-01,2428.0
05.L1.3060.KAG36904,2026-02-01,2184.0
05.L1.3060.KAG36904,2026-03-01,2277.0
05.L1.3060.KAG36904D,2025-12-01,297.0
05.L1.3060.KAG36904D,2026-01-01,287.0
05.L1.3060.KAG36904D,2026-02-01,245.0
05.L1.3060.KAG36904D,2026-03-01,255.0
05.L1.3060.KAG36905,2025-12-01,1856.0
05.L1.3060.KAG36905,2026-01-01,2025.0
05.L1.3060.KAG36905,2026-02-01,2104.0
05.L1.3060.KAG36905,2026-03-01,2040.0
05.L1.3060.KAG36906,2025-12-01,2089.0
05.L1.3060.KAG36906,2026-01-01,3743.0
05.L1.3060.KAG36906,2026-02-01,3855.0
05.L1.3060.KAG36906,2026-03-01,4073.0
05.L1.3060.KAG36906D,2025-12-01,276.0
05.L1.3060.KAG36906D,2026-01-01,386.0
05.L1.3060.KAG36906D,2026-02-01,392.0
05.L1.3060.KAG36906D,2026-03-01,405.0
05.L1.3060.KAG36907,2025-12-01,769.0
05.L1.3060.KAG36907,2026-01-01,1344.0
05.L1.3060.KAG36907,2026-02-01,1302.0
05.L1.3060.KAG36907,2026-03-01,1413.0
05.L1.3060.USG36000,2025-12-01,21485.0
05.L1.3060.USG36000,2026-01-01,22368.0
05.L1.3060.USG36000,2026-02-01,22225.0
05.L1.3060.USG36000,2026-03-01,22105.0
05.L1.3060.USG36000AD,2025-12-01,165.0
05.L1.3060.USG36000AD,2026-01-01,346.0
05.L1.3060.USG36000AD,2026-02-01,362.0
05.L1.3060.USG36000AD,2026-03-01,386.0
05.L1.3060.USG36000AV,2025-12-01,766.0
05.L1.3060.USG36000AV,2026-01-01,994.0
05.L1.3060.USG36000AV,2026-02-01,1016.0
05.L1.3060.USG36000AV,2026-03-01,1019.0
05.L1.3060.USG36000BD,2025-12-01,188.0
05.L1.3060.USG36000BD,2026-01-01,307.0
05.L1.3060.USG36000BD,2026-02-01,315.0
05.L1.3060.USG36000BD,2026-03-01,329.0
05.L1.3060.USG36000BV,2025-12-01,645.0
05.L1.3060.USG36000BV,2026-01-01,998.0
05.L1.3060.USG36000BV,2026-02-01,1040.0
05.L1.3060.USG36000BV,2026-03-01,1092.0
05.L1.3060.USG36001,2025-12-01,3944.0
05.L1.3060.USG36001,2026-01-01,3668.0
05.L1.3060.USG36001,2026-02-01,2373.0
05.L1.3060.USG36001,2026-03-01,5178.0
05.L1.3060.USG36001D,2025-12-01,60.0
05.L1.3060.USG36001D,2026-01-01,166.0
05.L1.3060.USG36001D,2026-02-01,184.0
05.L1.3060.USG36001D,2026-03-01,196.0
05.L1.3060.USG36001V,2025-12-01,847.0
05.L1.3060.USG36001V,2026-01-01,726.0
05.L1.3060.USG36001V,2026-02-01,739.0
05.L1.3060.USG36001V,2026-03-01,696.0
05.L1.3060.USG36002,2025-12-01,2056.0
05.L1.3060.USG36002,2026-01-01,2100.0
05.L1.3060.USG36002,2026-02-01,2278.0
05.L1.3060.USG36002,2026-03-01,2189.0
05.L1.3060.USG36002D,2025-12-01,90.0
05.L1.3060.USG36002D,2026-01-01,155.0
05.L1.3060.USG36002D,2026-02-01,145.0
05.L1.3060.USG36002D,2026-03-01,148.0
05.L1.3060.USG36002V,2025-12-01,37.0
05.L1.3060.USG36002V,2026-01-01,335.0
05.L1.3060.USG36002V,2026-02-01,301.0
05.L1.3060.USG36002V,2026-03-01,314.0
05.L1.3060.USG36003,2025-12-01,5492.0
05.L1.3060.USG36003,2026-01-01,3489.0
05.L1.3060.USG36003,2026-02-01,3864.0
05.L1.3060.USG36003,2026-03-01,3268.0
05.L1.3060.USG36003D,2025-12-01,176.0
05.L1.3060.USG36003D,2026-01-01,207.0
05.L1.3060.USG36003D,2026-02-01,208.0
05.L1.3060.USG36003D,2026-03-01,210.0
05.L1.3060.USG36004,2025-12-01,2641.0
05.L1.3060.USG36004,2026-01-01,2020.0
05.L1.3060.USG36004,2026-02-01,2120.0
05.L1.3060.USG36004,2026-03-01,1929.0
05.L1.3060.USG36005,2025-12-01,2524.0
05.L1.3060.USG36005,2026-01-01,3233.0
05.L1.3060.USG36005,2026-02-01,3350.0
05.L1.3060.USG36005,2026-03-01,3441.0
05.L1.3060.USG36005D,2025-12-01,130.0
05.L1.3060.USG36005D,2026-01-01,188.0
05.L1.3060.USG36005D,2026-02-01,168.0
05.L1.3060.USG36005D,2026-03-01,170.0
05.L1.3060.USG36006,2025-12-01,6218.0
05.L1.3060.USG36006,2026-01-01,3970.0
05.L1.3060.USG36006,2026-02-01,4345.0
05.L1.3060.USG36006,2026-03-01,3685.0
05.L1.3060.USG36007,2025-12-01,2350.0
05.L1.3060.USG36007,2026-01-01,2071.0
05.L1.3060.USG36007,2026-02-01,1340.0
05.L1.3060.USG36007,2026-03-01,2923.0
05.L1.3060.USG36007D,2025-12-01,214.0
05.L1.3060.USG36007D,2026-01-01,188.0
05.L1.3060.USG36007D,2026-02-01,121.0
05.L1.3060.USG36007D,2026-03-01,265.0
05.L1.3060.USG36008,2025-12-01,1683.0
05.L1.3060.USG36008,2026-01-01,1701.0
05.L1.3060.USG36008,2026-02-01,1101.0
05.L1.3060.USG36008,2026-03-01,2402.0
05.L1.3060.USG36009,2025-12-01,2625.0
05.L1.3060.USG36009,2026-01-01,2271.0
05.L1.3060.USG36009,2026-02-01,1470.0
05.L1.3060.USG36009,2026-03-01,3207.0
05.L1.3060.USG36009D,2025-12-01,332.0
05.L1.3060.USG36009D,2026-01-01,561.0
05.L1.3060.USG36009D,2026-02-01,365.0
05.L1.3060.USG36009D,2026-03-01,617.0
05.L1.3060.USG36010,2025-12-01,2023.0
